,0,1,2,3,4,5,6,7,8,9
100,LOT 105Closed ,Festivals and Theatre,"6 works, 1757-1824",Estimate,"USD 2,000 - USD 4,000",Price Realised,"USD 1,375",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
101,LOT 106Closed ,"Tontine Coffee House constitution, 1796",The Streeter copy,Estimate,"USD 1,500 - USD 2,500",Price Realised,"USD 30,000",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
102,LOT 107Closed ,Travel,18th and 19th centuries,Estimate,"USD 1,500 - USD 2,500",Price Realised,"USD 3,000",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
103,LOT 108Closed ,Nummi antiqui familiarum romanarum,"J.F. Vaillant, 1703",Estimate,USD 400 - USD 600,Price Realised,"USD 2,000",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
104,LOT 109Closed ,Versailles Festival Books,"Silvestre & Le Pautre, 1673-74 & 1679",Estimate,"USD 4,000 - USD 6,000",Price Realised,"USD 4,750",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
105,LOT 110Closed ,Les Divertissements de Versailles,"Felibien, 1676",Estimate,"USD 2,000 - USD 3,000",Price Realised,"USD 1,375",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
106,LOT 111Closed ,Relation de la feste de Versailles,"A. Félibien, 1679",Estimate,"USD 1,000 - USD 1,500",Price Realised,"USD 1,125",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
107,LOT 112Closed ,Description de la Grotte de Versailles,"A. Félibien, 1679",Estimate,"USD 6,000 - USD 8,000",Price Realised,"USD 7,500",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
108,LOT 113Closed ,The Labyrinth at Versailles,"S. Le Clerc, 1679",Estimate,"USD 5,000 - USD 8,000",Price Realised,"USD 10,625",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
109,LOT 114Closed ,Regulations for France's first philanthropic society,"Duc de Charost's copy, c.1784",Estimate,"USD 1,000 - USD 1,500",Price Realised,"USD 6,875",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
110,LOT 115Closed ,Two works on botanical drawing,"H.-A. Vincent, 1814",Estimate,"USD 4,000 - USD 6,000",Price Realised,"USD 6,875",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
111,LOT 116Closed ,The Natural History and Antiquities of Selborne,"G. White, 1789",Estimate,"USD 800 - USD 1,200",Price Realised,"USD 2,125",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
112,LOT 117Closed ,Streetcar named Desire,"T. Williams, 1947",Estimate,"USD 1,000 - USD 1,500",Price Realised,"USD 3,500",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
113,LOT 118Closed ,The Genus Rosa,"E. Willmott, 1914",Estimate,"USD 2,000 - USD 3,000",Price Realised,"USD 4,000",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
114,LOT 119Closed ,Presentation copy to E.M. Forster,"Virginia Woolf, 1925",Estimate,"USD 6,000 - USD 8,000",Price Realised,"USD 68,750",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
115,LOT 120Closed ,Classic treatise on deer hunting,"Duc d’Angoulême copy, 1788",Estimate,"USD 1,500 - USD 2,500",Price Realised,"USD 43,750",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
